Sample ID::Project ID,Sample ID::WSU_Sample ID,Isotope.ID,Analysis,δ¹⁵N corr,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments,Area All N,Area All C,mgN,Uc N_mg
3834,332367,IRIART2023_02,X-45594.3,-0.64,0.23 ,3.067 ,0.012 ,0.930 ,,23.141,47,0.028527236,0.000112291
3834,332368,IRIART2023_03,X-45595.3,1.52 ,0.23 ,4.485 ,0.020 ,1.086 ,,39.511,56.974,0.04870457,0.000217687
3834,332369,IRIART2023_05,X-46567.3,-0.96,0.25 ,2.022 ,0.003 ,0.766 ,,5.47,61.569,0.015486223,2.2517E-05
3834,332370,IRIART2023_06,X-45597.3,1.63 ,0.23 ,3.624 ,0.011 ,1.006 ,,29.578,52.891,0.036461353,0.000112828
3834,332371,IRIART2023_07,X-45598.3,1.04 ,0.23 ,4.852 ,0.020 ,0.959 ,,37.745,49.777,0.046527834,0.000195367
3834,332372,IRIART2023_09,X-45599.3,2.23 ,0.23 ,4.550 ,0.018 ,0.975 ,,35.987,52.141,0.044360958,0.00017408
3834,332373,IRIART2023_11,X-45600.3,1.52 ,0.23 ,2.355 ,0.013 ,1.062 ,,20.288,65.764,0.025010685,0.000134813
3834,332374,IRIART2023_16,X-45601.3,1.98 ,0.23 ,3.668 ,0.011 ,0.950 ,,28.266,49.002,0.034844208,0.000106207
3834,332375,IRIART2023_17,X-45602.3,1.12 ,0.23 ,4.774 ,0.028 ,1.295 ,,50.152,65.347,0.061820454,0.000361839
3834,332376,IRIART2023_18,X-45603.3,0.72 ,0.23 ,4.323 ,0.015 ,0.924 ,,32.406,45.877,0.039947089,0.000135417
3834,332377,IRIART2023_19,X-45604.3,0.29 ,0.23 ,3.492 ,0.011 ,0.947 ,,26.825,47.789,0.03306806,0.000102608
3834,332378,IRIART2023_20,X-45605.3,0.51 ,0.23 ,4.876 ,0.021 ,0.976 ,,38.605,50.802,0.047587853,0.000206138
3834,332379,IRIART2023_26,X-45609.3,1.07 ,0.23 ,4.370 ,0.020 ,1.130 ,,40.056,58.892,0.049376326,0.000224722
3834,332380,IRIART2023_28,X-45610.3,0.98 ,0.23 ,4.220 ,0.018 ,1.096 ,,37.518,56.492,0.046248038,0.000192559
3834,332381,IRIART2023_29,X-45611.3,1.25 ,0.23 ,5.067 ,0.029 ,1.197 ,,49.201,57.879,0.060648271,0.00034858
3834,332382,IRIART2023_32,X-45612.3,3.79 ,0.23 ,2.772 ,0.009 ,1.168 ,,26.26,59.169,0.032371653,0.000102342
3834,332383,IRIART2023_34,X-45613.3,0.43 ,0.23 ,2.760 ,0.013 ,0.944 ,,21.136,47.348,0.026055913,0.000127122
