Plate_ID,Tray,strain_ID,dicamba_trt,plant_genotype,temporal_block,WK4_num_nodules,WK6_num_nodules,shoot_biomass,WK4_fungal_pathogen_severe,WK4_fungal_pathogen_minor,WK3_nodule_presence,WK2_nodule_presence,WK1_nodule_presence
ST1-A01,1,strain_2316,0,mammoth,1,24,27,14.9,N,N,1,1,1
ST1-A02,1,strain_2220,0,mammoth,1,2,2,4.339,N,N,1,1,0
ST1-A03,1,strain_14479,0,mammoth,1,2,2,4.068,N,N,1,1,0
ST1-A04,1,strain_2316,0.5,mammoth,1,0,0,2.1,N,N,0,0,0
ST1-A05,1,strain_14479,0.5,mammoth,1,0,0,0.919,N,N,0,0,0
ST1-A06,1,strain_4386,0.5,kenland,1,0,1,4.015,N,N,0,0,0
ST1-A07,1,strain_2063,0,mammoth,1,2,2,3.7,N,N,1,1,0
ST1-A08,1,strain_4386,0.5,mammoth,1,0,0,0.667,Y,N,0,0,0
ST1-A09,1,strain_2214,0.5,mammoth,1,0,0,3.725,N,N,0,0,0
ST1-A10,1,strain_2214,0,mammoth,1,0,0,3.732,N,N,0,0,0
ST1-A11,1,strain_2063,0.5,kenland,1,1,0,2.723,N,Y,0,0,0
ST1-A12,1,strain_2220,0.5,mammoth,1,1,1,5.282,N,N,1,1,1
ST1-A13,1,uninoculated,0.5,kenland,1,0,0,2.955,N,N,0,0,0
ST1-A14,1,strain_2141,0.5,kenland,1,1,2,3.052,N,N,1,1,0
ST1-A15,1,strain_14479,0.5,kenland,1,0,0,1.9,N,N,0,0,0
ST1-A16,1,uninoculated,0,kenland,1,0,0,3.011,N,N,0,0,0
ST1-A17,1,strain_2087,0.5,kenland,1,3,5,3.603,N,N,1,1,0
ST1-A18,1,strain_4386,0,mammoth,1,1,1,4.1,N,N,1,1,0
ST1-B01,1,strain_2220,0.5,kenland,1,0,0,3.705,N,N,0,0,0
ST1-B02,1,strain_14479,0,kenland,1,3,3,3.423,N,N,1,1,0
ST1-B03,1,strain_4386,0,kenland,1,0,2,2.943,N,N,0,0,0
ST1-B04,1,uninoculated,0,mammoth,1,0,0,4.055,N,N,0,0,0
ST1-B05,1,uninoculated,0.5,mammoth,1,0,0,2.086,N,N,0,0,0
ST1-B06,1,strain_2141,0,kenland,1,2,1,3.437,N,N,0,0,0
ST1-B07,1,strain_2063,0.5,mammoth,1,4,3,1.827,Y,N,1,1,0
ST1-B08,1,strain_2214,0.5,kenland,1,0,0,2,N,N,0,0,0
ST1-B09,1,strain_2087,0,kenland,1,0,0,3.48,N,N,0,0,0
ST1-B10,1,strain_2141,0.5,mammoth,1,1,0,2.578,N,N,0,0,0
ST1-B11,1,strain_2087,0.5,mammoth,1,0,2,2,N,N,0,0,0
ST1-B12,1,strain_2063,0,kenland,1,4,4,5.041,N,N,1,1,1
ST1-B13,1,strain_2141,0,mammoth,1,0,0,3.574,N,N,0,0,0
ST1-B14,1,strain_2316,0.5,kenland,1,1,1,2.806,N,Y,1,1,0
ST1-B15,1,strain_2220,0,kenland,1,0,0,4.85,N,N,0,0,0
ST1-B16,1,strain_2316,0,kenland,1,2,2,6.558,N,N,1,1,0
ST1-B17,1,strain_2214,0,kenland,1,0,0,5.068,N,N,0,0,0
ST1-B18,1,strain_2087,0,mammoth,1,4,3,3.652,N,N,1,1,0
ST2-A01,2,strain_4386,0.5,kenland,1,1,2,3.272,N,N,0,0,0
ST2-A02,2,strain_2220,0.5,kenland,1,2,5,3.741,N,Y,1,1,0
ST2-A03,2,uninoculated,0,kenland,1,0,0,5.591,N,N,0,0,0
ST2-A04,2,strain_14479,0.5,mammoth,1,0,1,1.844,N,N,0,0,0
ST2-A05,2,strain_2087,0.5,kenland,1,1,1,3.25,N,N,1,1,0
ST2-A06,2,strain_2220,0,kenland,1,0,3,2.881,N,N,0,0,0
ST2-A07,2,strain_2141,0,mammoth,1,3,5,3.58,N,N,1,1,0
ST2-A08,2,strain_2087,0.5,mammoth,1,0,3,3.729,N,N,0,0,0
ST2-A09,2,strain_2316,0.5,mammoth,1,2,1,2.493,N,N,1,0,0
ST2-A10,2,strain_4386,0,mammoth,1,3,4,4.145,N,N,1,1,0
ST2-A11,2,strain_2141,0.5,kenland,1,0,0,3.593,N,N,0,0,0
ST2-A12,2,strain_14479,0,kenland,1,2,2,4.878,N,N,1,1,0
ST2-A13,2,strain_2063,0,mammoth,1,1,2,8.824,N,N,1,1,0
ST2-A14,2,strain_14479,0.5,kenland,1,0,0,2.869,N,N,0,0,0
ST2-A15,2,strain_2063,0,kenland,1,5,7,4.874,N,N,1,1,0
ST2-A16,2,strain_4386,0.5,mammoth,1,0,0,0.932,N,N,0,0,0
ST2-A17,2,strain_14479,0,mammoth,1,1,3,4.44,N,N,1,1,0
ST2-A18,2,strain_2087,0,mammoth,1,4,9,5.681,N,N,1,0,0
ST2-B01,2,strain_2220,0.5,mammoth,1,1,3,2.936,N,N,1,0,0
ST2-B02,2,uninoculated,0.5,mammoth,1,0,0,2.439,N,N,0,0,0
ST2-B03,2,strain_2214,0.5,mammoth,1,0,1,4.347,N,N,0,0,0
ST2-B04,2,strain_2141,0.5,mammoth,1,0,0,1.958,N,N,0,0,0
ST2-B05,2,strain_2316,0,mammoth,1,2,6,5.323,N,Y,1,1,0
ST2-B06,2,uninoculated,0,mammoth,1,0,0,4.626,N,N,0,0,0
